Local Government Areas (LGAs),Population by LGAs 2001,Babies under 1 year,Children 1-3 years,Children 4-8 years,Adolescents 9-11 years,12-18 years,Women 19-50,Women 51-70,Men 19-70,Adults over 70,Total amount of calcium required by LGAs,Demand by LGAs
Albury,45265,566,1841,3173,1944,4416,10473,4292,14583,3976,46952185,43075
Armidale,27906,349,1135,1956,1199,2723,6457,2646,8990,2451,28870398,26487
Ballina,37856,473,1539,2654,1626,3693,8759,3589,12196,3325,39223163,35985
Balranald,2751,34,112,193,118,268,637,261,886,242,2835249,2601
Bathurst,35504,444,1444,2489,1525,3464,8215,3366,11438,3119,36773162,33737
Bayside (NSW),129075,1614,5249,9049,5545,12593,29865,12238,41584,11338,135577830,124383
Bega Valley,30425,380,1237,2133,1307,2968,7040,2885,9802,2673,31488437,28888
Bellingen,12634,158,514,886,543,1233,2923,1198,4070,1110,13040442,11964
Berrigan,8075,101,328,566,347,788,1868,766,2601,709,8329019,7641
Blacktown,263103,3290,10700,18446,11302,25669,60877,24946,84763,23112,281872869,258599
Bland,6603,83,269,463,284,644,1528,626,2127,580,6809194,6247
Blayney,6478,81,263,454,278,632,1499,614,2087,569,6680164,6129
Blue Mountains,76528,957,3112,5365,3287,7466,17707,7256,24655,6723,79754620,73169
Bogan,3156,39,128,221,136,308,730,299,1017,277,3252852,2984
Bourke,3919,49,159,275,168,382,907,372,1263,344,4039735,3706
Brewarrina,2148,27,87,151,92,210,497,204,692,189,2213580,2031
Broken Hill,20929,262,851,1467,899,2042,4843,1984,6743,1838,21629445,19844
Burwood,30393,380,1236,2131,1306,2965,7032,2882,9792,2670,31455166,28858
Byron,29453,368,1198,2065,1265,2874,6815,2793,9489,2587,30477986,27961
Cabonne,12447,156,506,873,535,1214,2880,1180,4010,1093,12847062,11786
Camden,45167,565,1837,3167,1940,4407,10451,4282,14551,3968,46849840,42982
Campbelltown (NSW),149188,1866,6067,10459,6408,14555,34519,14145,48063,13105,157173383,144196
Canada Bay,61940,775,2519,4342,2661,6043,14332,5873,19955,5441,64410244,59092
Canterbury-Bankstown,307592,3847,12509,21565,13213,30009,71170,29164,99096,27020,331675793,304290
Carrathool,3290,41,134,231,141,321,761,312,1060,289,3391033,3111
Central Coast (NSW),294596,3684,11980,20653,12655,28742,68163,27931,94909,25878,317063499,290884
Central Darling,2432,30,99,171,104,237,563,231,784,214,2506358,2299
Cessnock,46823,586,1904,3283,2011,4568,10834,4439,15085,4113,48579666,44569
Clarence Valley,48247,603,1962,3382,2072,4707,11163,4574,15544,4238,50067835,45934
Cobar,4990,62,203,350,214,487,1155,473,1608,438,5144565,4720
Coffs Harbour,62582,783,2545,4387,2688,6106,14480,5934,20162,5497,65084131,59710
Coolamon,4090,51,166,287,176,399,946,388,1318,359,4216112,3868
Coonamble,4797,60,195,336,206,468,1110,455,1545,421,4945443,4537
Cootamundra-Gundagai,11397,143,463,799,490,1112,2637,1081,3672,1001,11761442,10790
Cowra,12989,162,528,911,558,1267,3005,1232,4185,1141,13407583,12301
