LGAs,Population 2006,Babies under 1 year,Children 1-3 years,Children 4-8 years,Adolescents 9-11 years,12-18 years,Women 19-50,Women 51-70,Men 19-70,Adults over 70,Calcium recommended,Demand
Albury,47566,633,1818,3106,1919,4535,10773,4974,15412,4396,49664257,45564
Armidale,27377,364,1046,1788,1105,2610,6200,2863,8870,2530,28486754,26135
Ballina,39537,526,1511,2582,1595,3770,8954,4134,12810,3654,41224841,37821
Balranald,2507,33,96,164,101,239,568,262,812,232,2597578,2383
Bathurst,36916,491,1411,2411,1489,3520,8361,3860,11961,3412,38474810,35298
Bayside (NSW),133205,1773,5092,8699,5375,12701,30168,13929,43159,12311,141101902,129451
Bega Valley,31829,424,1217,2078,1284,3035,7209,3328,10313,2942,33144323,30408
Bellingen,12716,169,486,830,513,1212,2880,1330,4120,1175,13198429,12109
Berrigan,8160,109,312,533,329,778,1848,853,2644,754,8462994,7764
Blacktown,278894,3712,10661,18212,11253,26591,63163,29163,90364,25775,302625982,277639
Bland,6212,83,237,406,251,592,1407,650,2013,574,6440518,5909
Blayney,6741,90,258,440,272,643,1527,705,2184,623,6989610,6412
Blue Mountains,75600,1006,2890,4937,3050,7208,17122,7905,24495,6987,79310363,72762
Bogan,2939,39,112,192,119,280,666,307,952,272,3045411,2794
Bourke,3185,42,122,208,129,304,721,333,1032,294,3300457,3028
Brewarrina,2004,27,77,131,81,191,454,210,649,185,2076226,1905
Broken Hill,19753,263,755,1290,797,1883,4474,2065,6400,1826,20527028,18832
Burwood,32199,429,1231,2103,1299,3070,7292,3367,10433,2976,33531724,30763
Byron,30125,401,1152,1967,1215,2872,6823,3150,9761,2784,31360812,28771
Cabonne,12634,168,483,825,510,1205,2861,1321,4094,1168,13113134,12030
Camden,50632,674,1935,3306,2043,4828,11467,5294,16405,4679,52893007,48526
Campbelltown (NSW),146534,1950,5601,9569,5912,13971,33187,15322,47478,13542,155567104,142722
Canada Bay,68309,909,2611,4461,2756,6513,15470,7143,22133,6313,71573299,65664
Canterbury-Bankstown,310578,4134,11872,20281,12531,29612,70339,32476,100630,28703,338749331,310779
Carrathool,2863,38,109,187,116,273,648,299,928,265,2966621,2722
Central Coast (NSW),303051,4034,11584,19790,12227,28895,68634,31689,98191,28008,330135487,302877
Central Darling,2000,27,76,131,81,191,453,209,648,185,2072081,1901
Cessnock,47426,631,1813,3097,1914,4522,10741,4959,15366,4383,49516905,45428
Clarence Valley,49149,654,1879,3210,1983,4686,11131,5139,15925,4542,51330870,47093
Cobar,4941,66,189,323,199,471,1119,517,1601,457,5121650,4699
Coffs Harbour,66657,887,2548,4353,2689,6355,15096,6970,21597,6160,69822847,64058
Coolamon,4097,55,157,268,165,391,928,428,1327,379,4246179,3896
Coonamble,4305,57,165,281,174,410,975,450,1395,398,4461912,4093
Cootamundra-Gundagai,11254,150,430,735,454,1073,2549,1177,3646,1040,11678048,10714
Cowra,12754,170,488,833,515,1216,2888,1334,4132,1179,13237956,12145
Cumberland,180403,2401,6896,11781,7279,17201,40857,18864,58452,16673,192606385,176703
Dubbo,47148,628,1802,3079,1902,4495,10678,4930,15276,4357,49224327,45160
Dungog,8245,110,315,538,333,786,1867,862,2671,762,8551274,7845
Edward River,9287,124,355,606,375,885,2103,971,3009,858,9633695,8838
Eurobodalla,35855,477,1371,2341,1447,3419,8120,3749,11617,3314,37362269,34277
Fairfield,186117,2477,7114,12154,7509,17745,42151,19461,60303,17201,198895307,182473
Federation,12497,166,478,816,504,1192,2830,1307,4049,1155,12970635,11900
Forbes,9540,127,365,623,385,910,2161,998,3091,882,9896568,9079
Georges River,130586,1738,4992,8527,5269,12451,29575,13655,42311,12069,138267050,126851
